Tanggal,Tavg,RH_avg,RR,ss
Jan,27.55,81.61,16.6,4.82
Feb,27.35,83.3,17.6,6.25
Mar,27.88,82,16.01,5.39
Apr,27.89,83.13,8.82,5.59
May,28.12,77.57,6.26,8.27
Jun,27.68,74.4,0,8.61
Jul,26.88,75,0.06,8.49
Aug,26.98,73.42,0.69,9.07
Sep,27.53,69.2,0,9.31
Okt,28.73,67.57,0,9.12
Nov,30.48,68.67,1.88,8.51
Des,28.97,78.13,4.41,5.38
Jan,28.97,79.58,6.45,6.37
Feb,27.82,84.14,24.57,4.62
Mar,28.84,82.13,10.94,5.41
Apr,29.16,80.47,9.04,6.13
May,29.28,80.37,14.45,7.17
Jun,28.48,81.1,6.95,6.3
Jul,28.1,81.1,7.22,6.84
Aug,28.16,75.58,3.6,8.03
Sep,28.97,75.5,5.27,7.93
Okt,28.51,79.65,16.63,5.67
Nov,28.92,79.27,4.17,6.05
Des,28.16,81.2,9.85,3.99
Jan,27.57,83.84,12.69,4.13
Feb,27.67,82.21,11.24,4.36
Mar,27.93,81.45,9.35,4.75
Apr,28.24,81.33,10.45,5.63
May,28.65,75.94,2.57,7.5
Jun,27.98,78.4,2.21,6.66
Jul,27.48,75.06,1.33,8.12
Aug,27.25,71.87,0,8.86
Sep,28.33,70.1,0.01,7.98
Okt,29.77,70,2.86,7.92
Nov,28.26,80,11.03,4.51
Des,28.05,81,14.69,4.36
Jan,27.69,81.61,10.88,3.44
Feb,27.21,83.07,17.45,5.41
Mar,27.64,83.29,16.03,5.2
Apr,28.96,77,10.37,8.14
May,28.75,74.48,0,8.11
Jun,27.91,75.97,4.61,8.19
Jul,26.66,74.26,0,9.04
Aug,26.67,71.9,0,8.95
Sep,28.05,68.3,0.72,8
Okt,29.35,67,0,8.73
Nov,29.51,73.5,6.97,6.35
Des,29.03,77.29,16.1,3.76
Jan,27.84,82.13,16.26,4.52
Feb,28,81.93,17.35,5.77
Mar,27.68,83.7,11.45,4.87
Apr,28.37,83.6,12.79,6.09
May,28.46,77.31,1.8,8.59
Jun,27.13,76.33,0,8.25
Jul,26.49,75,0.03,8.6
Aug,26.66,72.29,0,9.4
Sep,27.3,70.9,0,9.27
Okt,28.89,68,0,9.47
Nov,30.25,67.73,0.88,8.88
Des,29.86,74.89,7.08,6.62
Jan,28.38,81.84,11.45,5.04
Feb,27.68,85.45,18.84,4.72
Mar,28.19,83.77,10.53,5.54
Apr,28.54,82.6,13.42,6.28
May,28.39,82.58,18.13,7.04
Jun,27.68,79.66,1.81,7.42
Jul,27.28,76.17,0.1,8.25
Aug,27.54,75.77,0.88,8.65
Sep,28.72,70.88,0,9.01
Okt,29.18,72.97,1.99,7.03
Nov,29.17,76.73,6.7,6.29
Des,27.26,85.06,21.84,3.27
Jan,27.04,85.39,19.71,2.51
Feb,27.29,84.04,16.66,4.28
Mar,27.86,83.39,9.35,5.39
Apr,28.51,78.66,4.43,6.92
May,29.05,77.61,0.39,7.56
